Electricity generated (kWh) from onsite renewable sources (wind or solar),Energy consumption (kWh) from biomass combustion (wood),Total electricity emissions,Total fossil fuel emissions,BUILDING AND STREET LIGHTING TOTAL,Fleet vehicles,Business Travel,Other,TRANSPORT TOTAL,CO2 EMISSIONS TOTAL,Total electricity emissions,Total fossil fuel emissions,Total biomass emissions,BUILDING AND STREET LIGHTING TOTAL,Fleet vehicles,Business Travel,Other,TRANSPORT TOTAL,NOX EMISSIONS TOTAL,Total electricity emissions,Total fossil fuel emissions,Total biomass emissions,BUILDING AND STREET LIGHTING TOTAL,Fleet vehicles,Business Travel,Other,TRANSPORT TOTAL,PM10 EMISSIONS TOTAL
,,,,,,,,,,,,,,,,,,,,,,,,,,,
*0.0,*3843751.7,*21460,*12457.7,*33917.7,*1594.6,*1426.5,*0.0,*3021.1,*36938.8,*46.5,*15.8,*2.1,*64.3,*7.6,*2.9,*0.0,*10.5,*74.8,*1.3,*0.2,*0.5,*2.1,*0.1,*0.1,*0.0,*0.2,*2.3
*0.0,*0.0,*48854.1,*35144.7,*83998.8,*3755.5,*4316,*0.0,*8071.4,*92070.3,*105.7,*44.6,*0.0,*150.3,*16.4,*0.4,*0.0,*16.8,*167.2,*3.1,*2.2,*0.0,*5.3,*0.9,*0,*0.0,*0.9,*6.2
0.0 ,0.0 ,690.8 ,137.2 ,827.9 ,277.6 ,68.5 ,0.0 ,346.1 ,"1,174.0 ",1.5 ,0.2 ,0.0 ,1.7 ,N/A,N/A,N/A,N/A,N/A,0.0 ,0.0 ,0.0 ,0.0 ,N/A,N/A,N/A,N/A,N/A
*0.0,*0.0,*849.9,*568,*1418,*1091,*119.9,*0.0,*1210.9,*2628.8,*1.8,*0.5,*0.0,*2.4,*5.6,*0.1,*0.0,*5.7,*8.1,*0.1,*0,*0.0,*0.1,*0.2,*0,*0.0,*0.2,*0.2
0.0 ,0.0 ,"3,056.1 ","1,741.3 ","4,797.4 ","1,303.3 ",86.4 ,0.0 ,"1,389.7 ","6,187.1 ",6.6 ,1.7 ,0.0 ,8.3 ,6.2 ,0.0 ,0.0 ,6.2 ,14.5 ,0.2 ,0.0 ,0.0 ,0.2 ,0.3 ,0.0 ,0.0 ,0.3 ,0.5 
0.0 ,0.0 ,"1,404.0 ",528.4 ,"1,932.4 ",0.0 ,"1,750.0 ",0.0 ,"1,750.0 ","3,682.4 ",3.0 ,0.7 ,0.0 ,3.7 ,0.0 ,7.2 ,0.0 ,7.2 ,10.9 ,0.1 ,0.0 ,0.0 ,0.1 ,0.0 ,0.3 ,0.0 ,0.3 ,0.4 
*0.0,*0.0,*1654.2,*1231.1,*2885.3,*834,*66.2,*0.0,*900.1,*3785.5,*3.6,*1.6,*0.0,*5.1,*N/A,*N/A,*N/A,*N/A,*N/A,*0.1,*0,*0.0,*0.1,*N/A,*N/A,*N/A,*N/A,*N/A
*0.0,*0.0,*1088.4,*1483.9,*2572.3,*786.6,*140.1,*0.0,*926.7,*3499.1,*2.4,*1.3,*0.0,*3.7,*N/A,*N/A,*N/A,*N/A,*N/A,*0.1,*0,*0.0,*0.1,*N/A,*N/A,*N/A,*N/A,*N/A
"5,411.0 ",0.0 ,"1,559.6 ","1,353.8 ","2,913.4 ",702.9 ,598.8 ,0.0 ,"1,301.7 ","4,215.1 ",3.4 ,1.2 ,0.0 ,4.6 ,3.1 ,3.3 ,0.0 ,6.5 ,11.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.0 ,0.2 ,0.3 
0.0 ,0.0 ,"1,206.5 ",764.8 ,"1,971.3 ",698.6 ,95.3 ,0.0 ,793.9 ,"2,765.2 ",2.6 ,1.0 ,0.0 ,3.6 ,3.3 ,0.0 ,0.0 ,3.3 ,6.9 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 
"5,411.0 ",0.0 ,"60,363.7 ","42,953.2 ","103,316.9 ","9,449.5 ","7,241.1 ",0.0 ,"16,690.6 ","120,007.5 ",130.7 ,52.7 ,0.0 ,183.4 ,34.6 ,11.1 ,0.0 ,45.8 ,229.2 ,3.8 ,2.3 ,0.0 ,6.1 ,1.6 ,0.4 ,0.0 ,2.0 ,8.2 
